68	胮恟溯	北京大学	4	9:17:09	01:41:40(-5)	00:26:02(-1)	01:09:52(-3)		2:59:35		(-3)					
69	1700940322		4	9:31:38	00:41:19(-3)	1:18:35	02:53:51(-1)		3:17:53							
70	1700941522		4	9:38:57	00:16:24(-2)	1:11:55	03:16:21(-3)		3:14:17							
71	诅昇		4	9:46:37	01:00:19(-3)	02:41:36(-2)	3:46:38		0:38:04							
72	1700941293		4	9:58:28	00:46:25(-2)	01:28:05(-1)	02:41:47(-3)		3:02:11							
73	邹業		4	10:09:30	00:33:52(-1)	3:05:31	(-2)	3:40:02	2:30:05							
74	1700945268(BallBall)		4	10:12:33	00:17:11(-1)	02:24:13(-1)	02:09:52(-1)	(-3)	02:21:17(-6)							
75	1700943524	北京大学	4	10:33:26	3:13:12	1:49:03	2:54:08		2:37:03							
76	1700943701		4	10:49:34	00:39:01(-5)	0:55:01	02:42:36(-2)	03:52:56(-1)								
77	1700943096		4	11:02:25	01:54:32(-2)	2:19:37	3:04:47		3:03:29							
78	1700943544		4	11:10:43	0:58:17	(-9)	03:40:28(-3)	2:38:48	2:53:10							
79	1700944247		4	11:13:07	00:33:22(-1)	03:18:54(-2)	(-11)	3:35:16	2:45:35							
80	1700944666(wzh)		4	11:43:20	00:23:18(-2)	01:20:42(-1)	02:49:55(-5)		02:09:25(-7)							
81	1700943221		4	12:07:25	3:13:15	2:27:57	03:09:47(-2)		2:36:26		(-3)					
82	1700944190	北京大学	4	12:52:02	01:44:00(-8)	2:25:03	02:04:44(-1)		01:38:15(-6)							
83	1700944246		4	13:09:11	01:00:39(-7)	02:22:49(-3)	03:42:27(-2)		2:03:16							
84	1700940082		4	13:12:59	02:03:54(-13)	1:53:21	0:46:45		03:28:59(-2)							
85	1700943619	北京大学	4	13:37:17	03:09:32(-4)	02:35:26(-2)	3:07:18		2:45:01							
86	1700943067		4	14:41:53	01:33:46(-10)	02:55:55(-1)	03:05:14(-1)		3:06:58							
87	1700943331		4	16:10:28	01:13:40(-10)	02:36:29(-10)	3:01:47		2:38:32							
88	1700944667		3	3:19:45	00:34:02(-1)	0:50:12	1:35:31		(-5)							
89	胮叕乆		3	3:34:40	0:44:01	0:35:56	(-1)	(-4)	2:14:43		(-1)					
90	1700944643		3	3:43:15	0:32:11	1:29:20	1:41:44		(-2)							
91	1700945267		3	4:12:35	00:14:50(-2)	00:48:10(-2)	(-1)	(-3)	01:29:35(-1)							
92	1700944141		3	4:49:13	00:37:12(-1)	01:09:13(-3)	(-1)		1:42:48							
93	1700944623		3	5:15:38	00:22:21(-3)	1:19:02	02:14:15(-1)									
94	1700944308		3	5:29:47	1:06:17	02:18:31(-2)	(-3)		00:44:59(-2)							
95	1700943581		3	5:29:59	01:40:39(-1)	0:45:16			2:44:04							
96	1700945461		3	5:58:05	00:44:32(-1)	1:03:58	(-16)		3:49:35							
97	1700944894		3	6:04:42	0:09:48	2:18:00	(-2)		03:16:54(-1)							
98	1700943933		3	6:06:54	00:28:34(-1)	1:45:51	03:12:29(-1)	(-9)								
99	1700945640(宖妻007)		3	6:17:10	00:24:43(-1)	0:16:33	(-4)		03:55:54(-4)							
100	1700945274(Raven)	北京大学	3	6:24:21	00:25:04(-3)	02:43:26(-1)			01:15:51(-2)							
101	1700945271		3	6:28:09	00:24:42(-5)	00:45:28(-4)	(-1)		01:57:59(-1)		(-2)					
102	1700944183		3	6:33:42	01:05:39(-9)	(-1)	0:57:13		1:30:50							
103	1700943469		3	7:01:00	00:32:16(-1)	01:23:13(-2)	03:05:31(-3)	(-4)								
104	lzy		3	7:04:05	00:35:40(-3)	1:09:01	(-1)		03:39:24(-2)							
105	1700945266		3	7:06:49	00:20:00(-3)	(-1)		01:23:54(-6)	2:22:55							
106	1700944227		3	7:43:51	00:46:49(-2)	(-1)	01:17:13(-3)		03:39:49(-1)							
107	1700943639	北京大学	3	7:45:30		1:51:40	3:09:47		2:44:03							
108	1700943606		3	7:45:42	00:22:58(-1)	(-3)		01:59:57(-5)	03:02:47(-1)							
109	矸九鸰		3	7:49:42	01:26:14(-2)	01:29:56(-3)	(-1)	02:33:32(-2)								
110	Makoto		3	8:14:25	00:42:04(-2)	2:46:01			02:46:20(-4)							
